userID,appID
1,357
1,360
1,362
1,365
1,375
1,441
1,480
1,481
1,482
1,483
1,484
1,485
1,486
1,487
1,488
1,489
1,490
1,491
1,492
1,493
1,494
1,495
1,496
1,497
1,498
1,504
1,505
1,506
1,510
1,511
1,514
1,515
1,533
1,534
1,535
1,539
1,546
1,547
1,548
1,551
1,552
1,553
1,554
1,555
1,556
1,560
1,561
1,562
1,565
1,574
1,580
1,581
1,583
1,593
1,595
1,601
1,605
1,617
1,618
1,619
1,621
1,622
1,652
1,659
1,741
1,762
1,781
1,879
1,920
1,1006
1,1189
1,1245
1,1350
1,1353
1,1355
1,1560
1,1688
1,1713
1,6144
9,538
9,602
9,604
10,357
10,359
10,365
10,383
10,480
10,481
10,482
10,483
10,484
10,485
10,486
10,487
10,488
10,489
10,490
10,491
10,492
